Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",1206,2,10uF,C13585
"C10, C11, C12, C6, C7, C8",0402,6,0.1uF,C1525
C2,0805,1,2.2uF,C50254
C3,0805,1,0.1uF,C49678
C5,CP_Elec_10x7.9,1,420uF,C3350
C9,0402,1,100pF,C1546
D1,0805,1,GREEN LED,C2297
D2,D_SMA,1,SS54,C22452
"D3, D4",0402,2,RED LED,C397045
"D5, D6",D_SOD-123,2,SM4007,C64898
F1,Fuseholder_2AG_5x15mm_Littelfuse_01110501Z,1,Fuse,C151075
J1,TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal,1,Terminal Block,C89123
J15,SAMTEC_USB-A-S-S-W-TH,1,USB_A,C5815125
J2,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08,C42431840
J200,WIZnet_J1B1211CCD_RJ45,1,WIZnet_J1B1211CCD_RJ45,C910371
J3,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,JST-SH 01x04,C160390
"J4, J5",PinSocket_1x02_P2.54mm_Vertical,2,Conn_01x02,C7499322
J6,PinSocket_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,C30734
L1,L_Sunlord_SWPA6045S,1,68uH,C53663
R1,0603,1,6.8k,C23212
R10,0402,1,200k,C25764
"R11, R14, R2",0402,3,100,C25076
"R15, R16, R17, R18, R19, R20",0603,6,4.7k,C23162
R3,0805,1,220R,C17557
"R4, R5",0402,2,220R,C25091
"R6, R7",0402,2,5.1k,C25905
R76,0805,1,0Ω,C17477
"R8, R9",0402,2,100k,C25741
U1,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-78E5.0-1.0,C22371890
"U10, U3, U4, U7, U8",SOT-353_SC-70-5,5,74AHCT1G125,C151417
U2,Teensy41_ethernet_usb,1,Teensy4.1,C41376163
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,AO4882,C477943
U9,SO-8_3.9x4.9mm_P1.27mm,1,PCA9306D,C2677369
