Designator,Mid X,Mid Y,Rotation,Layer
C1,125.5,-62.15,90.0,top
C10,110.52,-84.5,0.0,top
C11,110.52,-89.25,0.0,top
C12,110.52,-94.0,0.0,top
C2,113.25,-62.0,270.0,top
C3,107.25,-99.45,270.0,top
C4,144.75,-59.1,90.0,top
C5,136.25,-59.1,270.0,top
C6,204.27,-65.0,180.0,top
C7,191.0,-66.75,270.0,top
C8,197.25,-66.75,270.0,top
C9,211.62,-60.96,0.0,top
D1,125.0,-70.0,90.0,top
D2,151.0,-59.0775,90.0,top
D3,181.0,-70.455,90.0,top
D4,173.0,-70.485,90.0,top
D5,169.0,-65.0,270.0,top
D6,177.0,-65.0,270.0,top
F1,159.5,-63.0,90.0,top
J1,175.0,-54.0,0.0,top
J15,140.2,-108.79975,0.0,top
J2,221.4,-57.75,90.0,top
J200,118.875,-107.2475,0.0,top
J3,97.75,-85.0,90.0,top
J4,181.025,-64.02,0.0,top
J5,173.0,-64.02,0.0,top
J6,178.73,-108.27,90.0,top
L1,120.0,-62.0,90.0,top
R1,122.75,-69.925,90.0,top
R10,211.49,-62.25,0.0,top
R11,103.78,-85.5,0.0,top
R14,103.78,-84.5,0.0,top
R15,222.5,-68.0,90.0,top
R16,218.25,-68.0,90.0,top
R17,167.75,-97.75,0.0,top
R18,167.75,-99.75,0.0,top
R19,211.0,-72.25,90.0,top
R2,103.75,-83.5,0.0,top
R20,207.25,-72.25,90.0,top
R3,133.75,-99.45,90.0,top
R4,200.25,-62.51,90.0,top
R5,194.0,-62.51,90.0,top
R6,182.5,-70.48,90.0,top
R7,174.49,-70.48,90.0,top
R76,128.758333,-62.15,90.0,top
R8,198.75,-62.5,90.0,top
R9,192.5,-62.51,90.0,top
U1,132.46,-70.5,180.0,top
U10,111.2,-82.15,0.0,top
U2,175.635,-85.0,0.0,top
U3,199.5,-66.05,270.0,top
U4,111.2,-91.6,0.0,top
U6,186.095,-64.025,180.0,top
U7,111.2,-86.9,0.0,top
U8,193.25,-66.0,270.0,top
U9,209.175,-65.595,0.0,top
