Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Link,Manu #,Manu.,Alt. Link,LCSC
"C1, C4",2,10uF,C_1206_3216Metric,1206,,,smt,10uF 50V X5R ±10% 1206 Multilayer Ceramic Capacitors MLCC,https://mou.sr/4l54Mdx,CL31A106KBHNNNE,Samsung Electro-Mechanics,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31A106KBHNNNE/3888534,C13585
C2,1,2.2uF,C_0805_2012Metric,0805,,,smt,2.2uF 50V X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL31B225KBHNNNE?qs=349EhDEZ59oNolj3jR402w%3D%3D,CL31B225KBHNNNE,Samsung Electro-Mechanics,,C50254
"C3, C6, C7, C8",4,0.1uF,C_0402_1005Metric,0402 ,,,smt,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05B104KO5NNNC/3886659,CL05B104KO5NNNC,Samsung Electro-Mechanics,,C1525
C5,1,420uF,CP_Elec_10x7.9,"SMD,D10xL10.2mm",,,smt,"35V 470uF ±20% SMD,D10xL10.2mm Aluminum Electrolytic Capacitor",,RVT1V471M1010,Honor Elec,,C3350
D1,1,GREEN LED,LED_0805_2012Metric,0805,,,smt,430mcd 513nm~528nm 525nm 5mA Discrete Diode Emerald Green Water Clear 0805 LED Indication,,KT-0805G,Hubei KENTO Elec,,C2297
"D10, D13, D14, D17, D18, D21, D22, D25, D26, D29, D30, D33, D34, D37, D38, D41, D42, D45, D46, D49, D5, D50, D6, D9",24,SM4007,D_SOD-123,SOD-123FL,,,smt,1A 1kV 25A Independent SOD-123FL Diode,https://www.digikey.com/en/products/detail/micro-commercial-co/SM4007PL-TP/1793250,SM4007PL,MCC,,C64898
"D11, D12, D15, D16, D19, D20, D23, D24, D27, D28, D3, D31, D32, D35, D36, D39, D4, D40, D43, D44, D47, D48, D7, D8",24,RED LED,LED_0402_1005Metric,0402,,,smt,Discrete Diode Red Water Clear 0402 LED Indication,-,MHT136CRCT,MEIHUA,,C397045
D2,1,SS54,D_SMA,DO-214AC,,,smt,40V 5A SMA(DO-214AC) Schottky Diode,https://www.digikey.com/en/products/detail/evvo/SS54/21407219,SS54,EVVO,,C22452
F1,1,Fuse,Fuseholder_2AG_5x15mm_Littelfuse_01110501Z,THT,,,tht,Fuse Holder,https://www.digikey.com/en/products/detail/littelfuse-inc/01110501Z/2518598,01110501Z,Littelfuse Inc.,https://www.mouser.com/ProductDetail/Littelfuse/01110501Z?qs=Ql%252B1sS8nYriZVK%2FyEjYMGg%3D%3D,-
J1,1,Terminal Block,TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal,THT,,,tht,"Connector Header Through Hole, Right Angle 2 position 0.138"" (3.50mm)",https://www.digikey.com/en/products/detail/phoenix-contact/1727010/348696,1727010,Phoenix Contact,https://www.mouser.com/ProductDetail/Phoenix-Contact/1727010?qs=JcjeNNoqGSMjtHhQoBJ7UA%3D%3D,-
"J2, J3",2,JST-SH 01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,"SMD,P=1mm",,,smt,P=1mm Wire To Board Connector,-,BM04B-SRSS-TB,JST,,C160390
"J4, J5, J6",3,Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,"THT,p=2.54mm",,,tht,"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",https://www.mouser.com/ProductDetail/Samtec/SSW-108-01-T-D?qs=iT52DjcXudtLEhVRwitEAw%3D%3D,SSW-108-01-T-D,Samtec,https://www.digikey.com/en/products/detail/samtec-inc/SSW-108-01-T-D/1112248,-
L1,1,68uH,L_Sunlord_SWPA6045S,"SMD,6x6mm",,,smt,"1.2A 1A 289mΩ 68uH ±20% SMD,6x6mm Power Inductor",,SWPA6045S680MT,Sunlord,,C53663
R1,1,6.8k,R_0603_1608Metric,0603,,,smt,6.8kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor,,0603WAF6801T5E,UNI-ROYAL(Uniroyal Elec),,C23212
"R10, R11, R16, R17, R22, R23, R28, R29, R34, R35, R4, R40, R41, R46, R47, R5, R52, R53, R58, R59, R64, R65, R70, R71",24,220R,R_0402_1005Metric,0402,,,smt,220Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor,,0402WGF2200TCE,UNI-ROYAL,,C25091
"R12, R13, R18, R19, R24, R25, R30, R31, R36, R37, R42, R43, R48, R49, R54, R55, R6, R60, R61, R66, R67, R7, R72, R73",24,5.1k,R_0402_1005Metric,0402,,,smt,5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor,,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),,C25905
"R14, R15, R20, R21, R26, R27, R32, R33, R38, R39, R44, R45, R50, R51, R56, R57, R62, R63, R68, R69, R74, R75, R8, R9",24,100k,R_0402_1005Metric,0402,,,smt,100kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor,,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),,C25741
"R2, R3",2,100,R_0402_1005Metric,0402,,,smt,100Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor,, 0402WGF1000TCE,UNI-ROYAL(Uniroyal Elec),,C25076
R76,1,0Ω,R_0805_2012Metric,0805,,,smt,0Ω 125mW 150V Thick Film Resistor ±1% ±800ppm/℃ 0805 Chip Resistor,-,0805W8F0000T5E,UNI-ROYAL(Uniroyal Elec),,C17477
U1,1,R-78E5.0-1.0,Converter_DCDC_RECOM_R-78E-0.5_THT,3 Pin SIP,,,tht,DC/DC Converters - Through Hole 8-28Vin 5V 1.0A,https://mou.sr/4krozTB,R-78E5.0-1.0,RECOM,,-
"U10, U11, U12, U13, U14, U15, U16, U17, U6, U7, U8, U9",12,AO4882,SOIC-8_3.9x4.9mm_P1.27mm,SOIC-8,,,smt,MOSFET 2N-CH 40V 8A 8SOIC,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AO4882/3060989,AO4882,Alpha & Omega Semiconductor,,C477943
U2,1,SN74LVC2G17,SOT-23-6_Handsoldering,SOT-23-6,,,smt,"Buffer, Non-Inverting 2 Element 1 Bit per Element Push-Pull Output",https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC2G17DBVR/479735,SN74LVC2G17DBVR,Texas Instruments,,C10429
"U3, U4, U5",3,74HC595,TSSOP-16_4.4x5mm_P0.65mm,16-TSSOP,,,smt,74HC 8 Serial-to-Serial or Parallel Tri-State TSSOP-16_4.4x5mm_P0.65mm Shift Register,https://www.digikey.com/en/products/detail/texas-instruments/SN74HC595PWR/1571275,SN74HC595PWR,Texas Instruments,,C273642
