pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
118.75,-104.475,90.0,top,C1,,1206,C_1206_3216Metric,10uF,smt
109.0,-104.225,90.0,top,C2,,0805,C_0805_2012Metric,2.2uF,smt
141.75,-127.25,0.0,top,C3,,0402 ,C_0402_1005Metric,0.1uF,smt
134.75,-107.0,90.0,top,C4,,1206,C_1206_3216Metric,10uF,smt
141.5,-112.5,90.0,top,C5,,"SMD,D10xL10.2mm",CP_Elec_10x7.9,420uF,smt
137.0,-130.23,-90.0,top,C6,,0402 ,C_0402_1005Metric,0.1uF,smt
125.75,-130.23,-90.0,top,C7,,0402 ,C_0402_1005Metric,0.1uF,smt
114.5,-130.24,-90.0,top,C8,,0402 ,C_0402_1005Metric,0.1uF,smt
109.25,-108.5,180.0,top,D1,,0805,LED_0805_2012Metric,GREEN LED,smt
140.25,-155.4,90.0,top,D10,,SOD-123FL,D_SOD-123,SM4007,smt
141.241666,-135.005,-90.0,top,D11,,0402,LED_0402_1005Metric,RED LED,smt
139.241666,-134.995,-90.0,top,D12,,0402,LED_0402_1005Metric,RED LED,smt
137.5,-155.35,90.0,top,D13,,SOD-123FL,D_SOD-123,SM4007,smt
134.75,-155.35,90.0,top,D14,,SOD-123FL,D_SOD-123,SM4007,smt
137.241666,-134.995,-90.0,top,D15,,0402,LED_0402_1005Metric,RED LED,smt
135.241666,-134.995,-90.0,top,D16,,0402,LED_0402_1005Metric,RED LED,smt
132.0,-155.35,90.0,top,D17,,SOD-123FL,D_SOD-123,SM4007,smt
129.25,-155.35,90.0,top,D18,,SOD-123FL,D_SOD-123,SM4007,smt
132.525,-134.99,-90.0,top,D19,,0402,LED_0402_1005Metric,RED LED,smt
131.25,-105.75,90.0,top,D2,,DO-214AC,D_SMA,SS54,smt
130.521667,-134.99,-90.0,top,D20,,0402,LED_0402_1005Metric,RED LED,smt
134.75,-167.35,90.0,top,D21,,SOD-123FL,D_SOD-123,SM4007,smt
132.0,-167.35,90.0,top,D22,,SOD-123FL,D_SOD-123,SM4007,smt
128.518333,-134.99,-90.0,top,D23,,0402,LED_0402_1005Metric,RED LED,smt
126.515,-135.0,-90.0,top,D24,,0402,LED_0402_1005Metric,RED LED,smt
129.25,-167.35,90.0,top,D25,,SOD-123FL,D_SOD-123,SM4007,smt
126.5,-167.35,90.0,top,D26,,SOD-123FL,D_SOD-123,SM4007,smt
124.511667,-135.0,-90.0,top,D27,,0402,LED_0402_1005Metric,RED LED,smt
122.508333,-135.0,-90.0,top,D28,,0402,LED_0402_1005Metric,RED LED,smt
123.75,-167.25,90.0,top,D29,,SOD-123FL,D_SOD-123,SM4007,smt
149.241666,-134.995,-90.0,top,D3,,0402,LED_0402_1005Metric,RED LED,smt
121.0,-167.25,90.0,top,D30,,SOD-123FL,D_SOD-123,SM4007,smt
120.505,-134.995,-90.0,top,D31,,0402,LED_0402_1005Metric,RED LED,smt
118.501667,-134.995,-90.0,top,D32,,0402,LED_0402_1005Metric,RED LED,smt
118.25,-167.25,90.0,top,D33,,SOD-123FL,D_SOD-123,SM4007,smt
115.5,-167.25,90.0,top,D34,,SOD-123FL,D_SOD-123,SM4007,smt
114.76,-134.99,-90.0,top,D35,,0402,LED_0402_1005Metric,RED LED,smt
112.76,-134.99,-90.0,top,D36,,0402,LED_0402_1005Metric,RED LED,smt
120.75,-155.35,90.0,top,D37,,SOD-123FL,D_SOD-123,SM4007,smt
118.0,-155.35,90.0,top,D38,,SOD-123FL,D_SOD-123,SM4007,smt
110.76,-134.99,-90.0,top,D39,,0402,LED_0402_1005Metric,RED LED,smt
147.241666,-134.995,-90.0,top,D4,,0402,LED_0402_1005Metric,RED LED,smt
108.76,-134.99,-90.0,top,D40,,0402,LED_0402_1005Metric,RED LED,smt
115.25,-155.35,90.0,top,D41,,SOD-123FL,D_SOD-123,SM4007,smt
112.5,-155.35,90.0,top,D42,,SOD-123FL,D_SOD-123,SM4007,smt
106.76,-134.99,-90.0,top,D43,,0402,LED_0402_1005Metric,RED LED,smt
104.76,-134.99,-90.0,top,D44,,0402,LED_0402_1005Metric,RED LED,smt
109.75,-155.35,90.0,top,D45,,SOD-123FL,D_SOD-123,SM4007,smt
107.0,-155.35,90.0,top,D46,,SOD-123FL,D_SOD-123,SM4007,smt
102.76,-134.99,-90.0,top,D47,,0402,LED_0402_1005Metric,RED LED,smt
100.75,-134.99,-90.0,top,D48,,0402,LED_0402_1005Metric,RED LED,smt
104.25,-155.35,90.0,top,D49,,SOD-123FL,D_SOD-123,SM4007,smt
148.5,-155.4,90.0,top,D5,,SOD-123FL,D_SOD-123,SM4007,smt
101.5,-155.35,90.0,top,D50,,SOD-123FL,D_SOD-123,SM4007,smt
145.75,-155.4,90.0,top,D6,,SOD-123FL,D_SOD-123,SM4007,smt
145.241666,-134.995,-90.0,top,D7,,0402,LED_0402_1005Metric,RED LED,smt
143.241666,-134.995,-90.0,top,D8,,0402,LED_0402_1005Metric,RED LED,smt
143.0,-155.35,90.0,top,D9,,SOD-123FL,D_SOD-123,SM4007,smt
125.0,-114.0,180.0,top,F1,,THT,Fuseholder_2AG_5x15mm_Littelfuse_01110501Z,Fuse,tht
123.095,-104.0,0.0,top,J1,,THT,TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal,Terminal Block,tht
147.5,-125.5,-90.0,top,J2,,"SMD,P=1mm",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,JST-SH 01x04,smt
102.75,-125.5,90.0,top,J3,,"SMD,P=1mm",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,JST-SH 01x04,smt
148.37,-162.29,-90.0,top,J4,,"THT,p=2.54mm",PinSocket_2x08_P2.54mm_Vertical,Conn_02x08_Odd_Even,tht
133.875,-174.25,-90.0,top,J5,,"THT,p=2.54mm",PinSocket_2x08_P2.54mm_Vertical,Conn_02x08_Odd_Even,tht
119.45,-162.25,-90.0,top,J6,,"THT,p=2.54mm",PinSocket_2x08_P2.54mm_Vertical,Conn_02x08_Odd_Even,tht
113.75,-103.975,180.0,top,L1,,"SMD,6x6mm",L_Sunlord_SWPA6045S,68uH,smt
113.075,-108.75,180.0,top,R1,,0603,R_0603_1608Metric,6.8k,smt
135.75,-122.25,90.0,top,R10,,0402,R_0402_1005Metric,220R,smt
134.75,-122.25,90.0,top,R11,,0402,R_0402_1005Metric,220R,smt
144.241666,-134.995,-90.0,top,R12,,0402,R_0402_1005Metric,5.1k,smt
142.241666,-134.995,-90.0,top,R13,,0402,R_0402_1005Metric,5.1k,smt
135.75,-119.75,-90.0,top,R14,,0402,R_0402_1005Metric,100k,smt
134.75,-119.75,-90.0,top,R15,,0402,R_0402_1005Metric,100k,smt
133.75,-122.25,90.0,top,R16,,0402,R_0402_1005Metric,220R,smt
132.75,-122.25,90.0,top,R17,,0402,R_0402_1005Metric,220R,smt
140.241666,-134.995,-90.0,top,R18,,0402,R_0402_1005Metric,5.1k,smt
138.251666,-134.995,-90.0,top,R19,,0402,R_0402_1005Metric,5.1k,smt
138.5,-126.0,0.0,top,R2,,0402,R_0402_1005Metric,100,smt
133.75,-119.75,-90.0,top,R20,,0402,R_0402_1005Metric,100k,smt
132.75,-119.75,-90.0,top,R21,,0402,R_0402_1005Metric,100k,smt
131.75,-122.24,90.0,top,R22,,0402,R_0402_1005Metric,220R,smt
130.75,-122.26,90.0,top,R23,,0402,R_0402_1005Metric,220R,smt
136.241666,-134.995,-90.0,top,R24,,0402,R_0402_1005Metric,5.1k,smt
134.241666,-134.995,-90.0,top,R25,,0402,R_0402_1005Metric,5.1k,smt
131.75,-119.75,-90.0,top,R26,,0402,R_0402_1005Metric,100k,smt
130.75,-119.75,-90.0,top,R27,,0402,R_0402_1005Metric,100k,smt
126.75,-130.25,-90.0,top,R28,,0402,R_0402_1005Metric,220R,smt
125.5,-122.26,90.0,top,R29,,0402,R_0402_1005Metric,220R,smt
138.5,-123.75,0.0,top,R3,,0402,R_0402_1005Metric,100,smt
131.523333,-134.99,-90.0,top,R30,,0402,R_0402_1005Metric,5.1k,smt
129.52,-134.99,-90.0,top,R31,,0402,R_0402_1005Metric,5.1k,smt
127.75,-130.25,90.0,top,R32,,0402,R_0402_1005Metric,100k,smt
125.5,-119.75,-90.0,top,R33,,0402,R_0402_1005Metric,100k,smt
124.5,-122.25,90.0,top,R34,,0402,R_0402_1005Metric,220R,smt
123.5,-122.25,90.0,top,R35,,0402,R_0402_1005Metric,220R,smt
127.516667,-135.0,-90.0,top,R36,,0402,R_0402_1005Metric,5.1k,smt
125.513333,-135.0,-90.0,top,R37,,0402,R_0402_1005Metric,5.1k,smt
124.5,-119.75,-90.0,top,R38,,0402,R_0402_1005Metric,100k,smt
123.5,-119.75,-90.0,top,R39,,0402,R_0402_1005Metric,100k,smt
138.0,-130.25,-90.0,top,R4,,0402,R_0402_1005Metric,220R,smt
122.5,-122.25,90.0,top,R40,,0402,R_0402_1005Metric,220R,smt
121.5,-122.25,90.0,top,R41,,0402,R_0402_1005Metric,220R,smt
123.51,-135.0,-90.0,top,R42,,0402,R_0402_1005Metric,5.1k,smt
121.506667,-135.0,-90.0,top,R43,,0402,R_0402_1005Metric,5.1k,smt
122.5,-119.75,-90.0,top,R44,,0402,R_0402_1005Metric,100k,smt
121.5,-119.75,-90.0,top,R45,,0402,R_0402_1005Metric,100k,smt
120.5,-122.25,90.0,top,R46,,0402,R_0402_1005Metric,220R,smt
119.5,-122.25,90.0,top,R47,,0402,R_0402_1005Metric,220R,smt
119.503333,-134.99,-90.0,top,R48,,0402,R_0402_1005Metric,5.1k,smt
117.5,-134.99,-90.0,top,R49,,0402,R_0402_1005Metric,5.1k,smt
136.75,-122.24,90.0,top,R5,,0402,R_0402_1005Metric,220R,smt
120.5,-119.75,-90.0,top,R50,,0402,R_0402_1005Metric,100k,smt
119.5,-119.75,-90.0,top,R51,,0402,R_0402_1005Metric,100k,smt
115.5,-130.24,-90.0,top,R52,,0402,R_0402_1005Metric,220R,smt
114.25,-122.24,90.0,top,R53,,0402,R_0402_1005Metric,220R,smt
115.75,-134.99,-90.0,top,R54,,0402,R_0402_1005Metric,5.1k,smt
113.75,-134.99,-90.0,top,R55,,0402,R_0402_1005Metric,5.1k,smt
116.5,-130.25,90.0,top,R56,,0402,R_0402_1005Metric,100k,smt
114.25,-119.75,-90.0,top,R57,,0402,R_0402_1005Metric,100k,smt
113.25,-122.24,90.0,top,R58,,0402,R_0402_1005Metric,220R,smt
112.25,-122.23,90.0,top,R59,,0402,R_0402_1005Metric,220R,smt
148.241666,-134.995,-90.0,top,R6,,0402,R_0402_1005Metric,5.1k,smt
111.75,-134.99,-90.0,top,R60,,0402,R_0402_1005Metric,5.1k,smt
109.75,-134.99,-90.0,top,R61,,0402,R_0402_1005Metric,5.1k,smt
113.25,-119.75,-90.0,top,R62,,0402,R_0402_1005Metric,100k,smt
112.25,-119.75,-90.0,top,R63,,0402,R_0402_1005Metric,100k,smt
111.25,-122.24,90.0,top,R64,,0402,R_0402_1005Metric,220R,smt
110.25,-122.24,90.0,top,R65,,0402,R_0402_1005Metric,220R,smt
107.75,-134.99,-90.0,top,R66,,0402,R_0402_1005Metric,5.1k,smt
105.75,-134.99,-90.0,top,R67,,0402,R_0402_1005Metric,5.1k,smt
111.25,-119.75,-90.0,top,R68,,0402,R_0402_1005Metric,100k,smt
110.25,-119.75,-90.0,top,R69,,0402,R_0402_1005Metric,100k,smt
146.241666,-134.995,-90.0,top,R7,,0402,R_0402_1005Metric,5.1k,smt
109.25,-122.24,90.0,top,R70,,0402,R_0402_1005Metric,220R,smt
108.25,-122.24,90.0,top,R71,,0402,R_0402_1005Metric,220R,smt
103.74,-134.99,-90.0,top,R72,,0402,R_0402_1005Metric,5.1k,smt
101.74,-134.99,-90.0,top,R73,,0402,R_0402_1005Metric,5.1k,smt
109.25,-119.75,-90.0,top,R74,,0402,R_0402_1005Metric,100k,smt
108.25,-119.75,-90.0,top,R75,,0402,R_0402_1005Metric,100k,smt
141.5,-103.5,-90.0,top,R76,,0805,R_0805_2012Metric,0Ω,smt
139.0,-130.25,90.0,top,R8,,0402,R_0402_1005Metric,100k,smt
136.75,-119.75,-90.0,top,R9,,0402,R_0402_1005Metric,100k,smt
105.0,-116.5,0.0,top,U1,,3 Pin SIP,Converter_DCDC_RECOM_R-78E-0.5_THT,R-78E5.0-1.0,tht
130.5,-148.55,-90.0,top,U10,,SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,AO4882,smt
126.905,-140.725,-90.0,top,U11,,SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,AO4882,smt
123.5,-148.5,-90.0,top,U12,,SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,AO4882,smt
119.75,-140.75,-90.0,top,U13,,SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,AO4882,smt
116.655,-148.525,-90.0,top,U14,,SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,AO4882,smt
112.75,-140.75,-90.0,top,U15,,SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,AO4882,smt
109.655,-148.525,-90.0,top,U16,,SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,AO4882,smt
105.655,-140.725,-90.0,top,U17,,SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,AO4882,smt
141.85,-124.8,180.0,top,U2,,SOT-23-6,SOT-23-6_Handsoldering,SN74LVC2G17,smt
133.7975,-127.3875,-90.0,top,U3,,16-TSSOP,TSSOP-16_4.4x5mm_P0.65mm,74HC595,smt
122.525,-127.3875,-90.0,top,U4,,16-TSSOP,TSSOP-16_4.4x5mm_P0.65mm,74HC595,smt
111.2525,-127.3875,-90.0,top,U5,,16-TSSOP,TSSOP-16_4.4x5mm_P0.65mm,74HC595,smt
144.75,-148.5,-90.0,top,U6,,SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,AO4882,smt
141.25,-140.7,-90.0,top,U7,,SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,AO4882,smt
137.5,-148.5,-90.0,top,U8,,SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,AO4882,smt
134.0,-140.7,-90.0,top,U9,,SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,AO4882,smt
