Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",1206,2,10uF,C13585
C2,0805,1,2.2uF,C377773
"C3, C6, C7, C8",0402,4,0.1uF,C1525
C5,CP_Elec_10x7.9,1,420uF,C3350
D1,0805,1,GREEN LED,C2297
"D10, D13, D14, D17, D18, D21, D22, D25, D26, D29, D30, D33, D34, D37, D38, D41, D42, D45, D46, D49, D5, D50, D6, D9",D_SOD-123,24,SM4007,C64898
"D11, D12, D15, D16, D19, D20, D23, D24, D27, D28, D3, D31, D32, D35, D36, D39, D4, D40, D43, D44, D47, D48, D7, D8",0402,24,RED LED,C397045
D2,D_SMA,1,SS54,C22452
F1,Fuseholder_2AG_5x15mm_Littelfuse_01110501Z,1,Fuse,C151075
J1,TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal,1,Terminal Block,C89123
"J2, J3",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,2,JST-SH 01x04,C160390
"J4, J5, J6",PinSocket_2x08_P2.54mm_Vertical,3,Conn_02x08_Odd_Even,C30734
L1,L_Sunlord_SWPA6045S,1,68uH,C53663
R1,0603,1,6.8k,C23212
"R10, R11, R16, R17, R22, R23, R28, R29, R34, R35, R4, R40, R41, R46, R47, R5, R52, R53, R58, R59, R64, R65, R70, R71",0402,24,220R,C25091
"R12, R13, R18, R19, R24, R25, R30, R31, R36, R37, R42, R43, R48, R49, R54, R55, R6, R60, R61, R66, R67, R7, R72, R73",0402,24,5.1k,C25905
"R14, R15, R20, R21, R26, R27, R32, R33, R38, R39, R44, R45, R50, R51, R56, R57, R62, R63, R68, R69, R74, R75, R8, R9",0402,24,100k,C25741
"R2, R3",0402,2,100,C25076
R76,0805,1,0Ω,C17477
U1,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-78E5.0-1.0,C22371890
"U10, U11, U12, U13, U14, U15, U16, U17, U6, U7, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,12,AO4882,C477943
U2,SOT-23-6_Handsoldering,1,SN74LVC2G17,C10429
"U3, U4, U5",TSSOP-16_4.4x5mm_P0.65mm,3,74HC595,C273642
