Designator,Mid X,Mid Y,Rotation,Layer
C1,118.75,-104.475,90.0,top
C2,109.0,-104.225,90.0,top
C3,141.75,-127.25,0.0,top
C4,134.75,-107.0,90.0,top
C5,141.5,-112.5,270.0,top
C6,137.0,-130.23,270.0,top
C7,125.75,-130.23,270.0,top
C8,114.5,-130.24,270.0,top
D1,109.25,-108.5,180.0,top
D10,140.25,-155.4,90.0,top
D11,141.241666,-135.005,270.0,top
D12,139.241666,-134.995,270.0,top
D13,137.5,-155.35,90.0,top
D14,134.75,-155.35,90.0,top
D15,137.241666,-134.995,270.0,top
D16,135.241666,-134.995,270.0,top
D17,132.0,-155.35,90.0,top
D18,129.25,-155.35,90.0,top
D19,132.525,-134.99,270.0,top
D2,131.25,-105.75,90.0,top
D20,130.521667,-134.99,270.0,top
D21,134.75,-167.35,90.0,top
D22,132.0,-167.35,90.0,top
D23,128.518333,-134.99,270.0,top
D24,126.515,-135.0,270.0,top
D25,129.25,-167.35,90.0,top
D26,126.5,-167.35,90.0,top
D27,124.511667,-135.0,270.0,top
D28,122.508333,-135.0,270.0,top
D29,123.75,-167.25,90.0,top
D3,149.241666,-134.995,270.0,top
D30,121.0,-167.25,90.0,top
D31,120.505,-134.995,270.0,top
D32,118.501667,-134.995,270.0,top
D33,118.25,-167.25,90.0,top
D34,115.5,-167.25,90.0,top
D35,114.76,-134.99,270.0,top
D36,112.76,-134.99,270.0,top
D37,120.75,-155.35,90.0,top
D38,118.0,-155.35,90.0,top
D39,110.76,-134.99,270.0,top
D4,147.241666,-134.995,270.0,top
D40,108.76,-134.99,270.0,top
D41,115.25,-155.35,90.0,top
D42,112.5,-155.35,90.0,top
D43,106.76,-134.99,270.0,top
D44,104.76,-134.99,270.0,top
D45,109.75,-155.35,90.0,top
D46,107.0,-155.35,90.0,top
D47,102.76,-134.99,270.0,top
D48,100.75,-134.99,270.0,top
D49,104.25,-155.35,90.0,top
D5,148.5,-155.4,90.0,top
D50,101.5,-155.35,90.0,top
D6,145.75,-155.4,90.0,top
D7,145.241666,-134.995,270.0,top
D8,143.241666,-134.995,270.0,top
D9,143.0,-155.35,90.0,top
F1,125.0,-114.0,180.0,top
J1,125.0,-104.0,0.0,top
J2,147.5,-125.5,270.0,top
J3,102.75,-125.5,90.0,top
J4,139.48,-161.02,270.0,top
J5,124.985,-172.98,270.0,top
J6,110.56,-160.98,270.0,top
L1,113.75,-103.975,180.0,top
R1,113.075,-108.75,180.0,top
R10,135.75,-122.25,90.0,top
R11,134.75,-122.25,90.0,top
R12,144.241666,-134.995,270.0,top
R13,142.241666,-134.995,270.0,top
R14,135.75,-119.75,270.0,top
R15,134.75,-119.75,270.0,top
R16,133.75,-122.25,90.0,top
R17,132.75,-122.25,90.0,top
R18,140.241666,-134.995,270.0,top
R19,138.251666,-134.995,270.0,top
R2,138.5,-126.0,0.0,top
R20,133.75,-119.75,270.0,top
R21,132.75,-119.75,270.0,top
R22,131.75,-122.24,90.0,top
